motif1	Attract:PCBP2_792;HNRNPD_735;PCBP1_766
motif2	Attract:ELAVL2_M329_0.6
motif3	Attract:RBFOX1_621
motif4	Attract:HNRNPA1_650
motif5	Attract:YBX1_1291;YBX1_1339
motif6	Attract:KHSRP_1110
motif7	Attract:RC3H1_354
motif8	Attract:RNASEL_563
motif9	Attract:CELF1_s88
motif10	Attract:AGO2_399
motif11	Ornament:NUPL2_7mer_logo6
motif12	Attract:PTBP1_489
motif13	Attract:SRSF3_1252
motif14	Attract:HNRNPDL_s43
motif15	Attract:NONO_M307_0.6
motif16	Attract:ZRANB2_s21
motif17	Attract:RC3H1_467
motif18	Attract:TARDBP_1278
motif19	Attract:HNRNPA1_673
motif20	Attract:ELAVL4_1097
motif21	Attract:SRSF6_1269
motif22	Ornament:NUPL2_7mer_logo5
motif23	Attract:KHSRP_63
motif24	Attract:OAS1_385
motif25	Attract:TRA2B_s78
motif26	Attract:QKI_70
motif27	Attract:KHSRP_41
motif28	Attract:PTBP1_s100
motif29	Attract:YTHDC1_M354_0.6
motif30	Attract:SNRPA_M319_0.6
motif31	Attract:CELF1_592
motif32	Attract:SF1_1206
motif33	Ornament:NUPL2_7mer_logo4
motif34	Attract:SRSF1_1214
motif35	Attract:SRSF1_1223
motif36	Attract:PTBP1_100
motif37	Attract:DHX9_377
motif38	Attract:NOVA1_99
motif39	Attract:HNRNPK_1027
motif40	Attract:SRSF1_1224
motif41	Attract:SRSF1_s60
motif42	Attract:QKI_1140
motif43	Attract:TIAL1_1289
motif44	Ornament:NUPL2_7mer_logo3
motif45	Attract:SRSF2_1334
motif46	Attract:SRSF1_325
motif47	Attract:SRSF2_1323
motif48	Attract:TRA2A_1328
motif49	Attract:SRSF2_1348
motif50	Attract:PTBP1_1314
motif51	Attract:SRSF1_1367
motif52	Attract:SRSF1_1385
motif53	Attract:SRSF1_1336;HNRNPF_1331;HNRNPA1_1306;HNRNPH1_1347
motif54	Attract:HNRNPH1_1387
motif55	Ornament:NUPL2_7mer_logo2
motif56	Attract:SRSF1_1345
motif57	Attract:SRSF3_1354;YBX1_1321
motif58	Attract:SRSF1_1327;SRSF2_1380
motif59	Attract:SRSF2_1395;SRSF1_1353
motif60	Attract:SRSF2_1311
motif61	Attract:SRSF1_1335
motif62	Attract:SRSF2_1357
motif63	Attract:SRSF1_1349
motif64	Attract:RBMX_1386
motif65	Attract:NOVA1_1378
motif66	Ornament:NUPL2_7mer_logo1
motif67	Attract:SRSF1_1376
motif68	Attract:SRSF1_1312
motif69	Attract:SRSF1_1393
motif70	Attract:SRSF5_1343
motif71	Attract:NOVA1 _1394
motif72	Attract:SRSF1_1364
motif73	Attract:PTBP1_1368
motif74	Attract:RBMX_1361
motif75	Attract:SRSF5_1333
motif76	Attract:RBMX_1377
motif77	Ornament:NUPL2_7mer_logo0
motif78	Attract:SRSF1_1383
motif79	Attract:SRSF5_1330
motif80	Attract:HNRNPH1_1391
motif81	Attract:HNRNPA1_1397
motif82	Attract:RBMX_1316
motif83	Attract:PTBP1_1340
motif84	Attract:SRSF6_1384
motif85	CISBP:MEX3C_MEX3D_MEX3B_M122_0.6
motif86	CISBP:SNRPB2_M136_0.6
motif87	Ornament:PABPN1L_7mer_logo1
motif88	CISBP:ZFP36_M269_0.6
motif89	CISBP:SRSF1_M272_0.6
motif90	CISBP:NCL_M245_0.6
motif91	CISBP:PABPC1_M275_0.6
motif92	CISBP:HNRNPA1_M271_0.6
motif93	CISBP:ACO1_M256_0.6
motif94	CISBP:SRSF2_M274_0.6
motif95	CISBP:RBMY1F_RBMY1J_RBMY1A1_RBMY1E_RBMY1B_RBMY1D_M246_0.6
motif96	CISBP:RBMY1A1_M247_0.6
motif97	CISBP:A2BP1_M298_0.6
motif98	Ornament:PABPN1L_7mer_logo0
motif99	CISBP:IGF2BP1_M296_0.6
motif100	CISBP:EIF4B_M292_0.6
motif101	CISBP:NONO_M307_0.6
motif102	CISBP:SRSF2_M332_0.6
motif103	CISBP:NOVA2_M325_0.6
motif104	CISBP:ELAVL2_M330_0.6
motif105	CISBP:FUS_TAF15_M316_0.6
motif106	CISBP:SNRPA_M345_0.6
