cluster	id	name
cluster_001	transfac_motifs_motif518_n518,transfac_motifs_motif186_n186,transfac_motifs_motif294_n294,transfac_motifs_motif185_n185,transfac_motifs_motif190_n190,transfac_motifs_motif136_n136,transfac_motifs_motif807_n807,transfac_motifs_motif191_n191,transfac_motifs_motif143_n143,transfac_motifs_motif963_n963,transfac_motifs_motif293_n293,transfac_motifs_motif295_n295,transfac_motifs_motif387_n387,transfac_motifs_motif487_n487	motif518|Ornament:HNRNPD_7mer_logo1,motif186|Ornament:RBMS2_7mer_logo0,motif294|Ornament:RBMS3_7mer_logoM055,Attract:RBMS3_M055_0.6,Ray2013:RNCMPT00057_RBMS3,CISBP:RBMS3_M055_0.6,motif185|Ornament:RBMS2_7mer_logo1,motif190|Ornament:RBMS3_7mer_logo1,motif136|Ornament:PRR3_7mer_logo1,motif807|Ornament:KHDRBS2_7mer_logo1,motif191|Ornament:RBMS3_7mer_logo0,motif143|Ornament:PUM1_7mer_logo0,motif963|Attract:PUM1_419,motif293|Ornament:RBMS3_7mer_logoM164,Attract:RBMS3_M164_0.6,Ray2013:RNCMPT00173_RBMS3,CISBP:RBMS3_M164_0.6,motif295|Ornament:RBMS1_7mer_logoM143,Attract:RBMS1_M143_0.6,Ray2013:RNCMPT00152_RBMS1,CISBP:RBMS2_RBMS1_ENSG00000213250_M143_0.6,motif387|Ornament:FUBP3_7mer_logo0,motif487|Attract:AKAP1_97
cluster_002	transfac_motifs_motif887_n887,transfac_motifs_motif708_n708,transfac_motifs_motif470_n470,transfac_motifs_motif908_n908,transfac_motifs_motif892_n892,transfac_motifs_motif491_n491,transfac_motifs_motif632_n632	motif887|Attract:SRSF3_s41,motif708|Attract:SRSF3_1251,motif470|Attract:YBX1_s54,motif908|Attract:SRSF3_1253,Attract:YBX1_1298,motif892|Attract:DDX58_511,motif491|Attract:YBX1_1296,motif632|Attract:PHAX_472
cluster_003	transfac_motifs_motif367_n367,transfac_motifs_motif670_n670,transfac_motifs_motif692_n692,transfac_motifs_motif383_n383,transfac_motifs_motif493_n493	motif367|Ornament:A1CF_7mer_logo3,motif670|Attract:SFPQ_s71,motif692|Attract:HNRNPF_803,motif383|Ornament:EIF4B_7mer_logoM290,CISBP:EIF4B_M290_0.6,motif493|Attract:EIF4B_M290_0.6
cluster_004	transfac_motifs_motif444_n444,transfac_motifs_motif725_n725,transfac_motifs_motif270_n270,transfac_motifs_motif312_n312	motif444|Attract:SRSF1_1221,Attract:HNRNPC_732,motif725|Attract:HNRNPDL_745,Attract:DAZAP1_597,Attract:HNRNPA0_636,Attract:HNRNPA2B1_709,Attract:HNRNPA1_694,Attract:HNRNPD_741,motif270|Ornament:STARPAP_7mer_logoM073,Attract:TUT1_M073_0.6,Ray2013:RNCMPT00075_TUT1,CISBP:STAR-PAP_M073_0.6,motif312|Ornament:RBM3_7mer_logoM048,Attract:RBM3_M048_0.6,Ray2013:RNCMPT00050_RBM3,CISBP:CIRBP_RBM3_M048_0.6
cluster_005	transfac_motifs_motif347_n347,transfac_motifs_motif440_n440,transfac_motifs_motif666_n666,transfac_motifs_motif824_n824,transfac_motifs_motif81_n81,transfac_motifs_motif526_n526,transfac_motifs_motif616_n616	motif347|Ornament:EWSR1_7mer_logo1,motif440|Ornament:HNRNPA0_7mer_logo0,motif666|Attract:HNRNPA1_646,motif824|Attract:HNRNPA2B1_700,Attract:HNRNPA1_675,Attract:HNRNPAB_1396,motif81|Attract:HNRNPA1_1397,motif526|Attract:HNRNPA1_652,motif616|Attract:HNRNPD_736,Attract:PCBP2_793,Attract:PCBP1_767
cluster_006	transfac_motifs_motif522_n522,transfac_motifs_motif64_n64,transfac_motifs_motif969_n969,transfac_motifs_motif403_n403,transfac_motifs_motif88_n88,transfac_motifs_motif613_n613,transfac_motifs_motif890_n890,transfac_motifs_motif48_n48,transfac_motifs_motif59_n59	motif522|Attract:TRA2B_1079,motif64|Attract:RBMX_1386,motif969|Attract:TRA2B_1081,Attract:TRA2B_1313,motif403|Attract:ZFP36_M269_0.6,motif88|CISBP:ZFP36_M269_0.6,motif613|Attract:TRA2B_1082,Attract:TRA2B_1309,motif890|Attract:TRA2B_1083,Attract:TRA2B_1375,motif48|Attract:TRA2A_1328,motif59|Attract:SRSF2_1395,Attract:SRSF1_1353
cluster_007	transfac_motifs_motif721_n721,transfac_motifs_motif955_n955,transfac_motifs_motif863_n863,transfac_motifs_motif879_n879	motif721|Attract:YBX1_1295,motif955|Attract:YBX1_1297,motif863|Attract:PTBP1_993,motif879|Attract:SRSF2_1175
cluster_008	transfac_motifs_motif798_n798,transfac_motifs_motif567_n567,transfac_motifs_motif599_n599	motif798|Attract:PCBP1_93,motif567|Attract:HNRNPK_s61,motif599|Attract:HNRNPK_s62
cluster_009	transfac_motifs_motif581_n581,transfac_motifs_motif988_n988,transfac_motifs_motif478_n478,transfac_motifs_motif835_n835,transfac_motifs_motif496_n496,transfac_motifs_motif376_n376,transfac_motifs_motif424_n424,transfac_motifs_motif474_n474,transfac_motifs_motif268_n268,transfac_motifs_motif313_n313,transfac_motifs_motif265_n265,transfac_motifs_motif267_n267,transfac_motifs_motif844_n844,transfac_motifs_motif386_n386,transfac_motifs_motif388_n388,transfac_motifs_motif168_n168,transfac_motifs_motif946_n946,transfac_motifs_motif468_n468,transfac_motifs_motif728_n728,transfac_motifs_motif177_n177,transfac_motifs_motif242_n242,transfac_motifs_motif896_n896,transfac_motifs_motif352_n352,transfac_motifs_motif353_n353,transfac_motifs_motif485_n485,transfac_motifs_motif782_n782,transfac_motifs_motif645_n645,transfac_motifs_motif845_n845,transfac_motifs_motif161_n161,transfac_motifs_motif239_n239,transfac_motifs_motif145_n145,transfac_motifs_motif257_n257,transfac_motifs_motif465_n465,transfac_motifs_motif525_n525,transfac_motifs_motif953_n953	motif581|Attract:KHDRBS1_1157,Attract:CPEB1_333,motif988|Attract:KHSRP_1109,motif478|Attract:ELAVL1_367,Attract:SSB_521,motif835|Attract:ELAVL1_476,motif496|Ornament:HNRNPCL1_7mer_logo0,motif376|Ornament:ELAVL1_7mer_logoM232,Attract:ELAVL1_M232_0.6,Ray2013:RNCMPT00274_HuR,CISBP:ELAVL1_M232_0.6,motif424|Attract:FMR1_611,Attract:HNRNPU_1069,Attract:HNRNPU_1074,Attract:FUS_1061,Attract:DDX19B_332,Attract:FMR1_605,Attract:U2AF2_465,Attract:PTBP1_1018,Attract:ELAVL4_1096,Attract:HNRNPC_726,Attract:ELAVL1_1108,Attract:NOVA2_s95,Attract:SFPQ_1135,Attract:KHDRBS3_1243,Attract:PCBP1_772,Attract:DAZAP1_596,Attract:HNRNPA1_683,Attract:PCBP1_765,Attract:ELAVL4_1098,Attract:PTBP1_1015,Attract:KHDRBS1_1158,Attract:SYNCRIP_1065,Attract:HNRNPC_725,Attract:HNRNPC_720,Attract:ELAVL3_1094,Attract:SYNCRIP_1063,Attract:ELAVL1_1106,Attract:HNRNPA1_686,Attract:KHDRBS2_1242,Attract:PCBP1_775,Attract:HNRNPC_721,Attract:KHDRBS1_1159,Attract:NOVA1_1129,Attract:FMR1_609,Attract:PCBP2_798,Attract:HNRNPK_1039,motif474|Ornament:HNRNPC_7mer_logo0,motif268|Ornament:TIA1_7mer_logoM075,Attract:TIA1_M075_0.6,Ray2013:RNCMPT00077_TIA1,CISBP:TIA1_M075_0.6,motif313|Ornament:RALY_7mer_logoM150,Attract:RALY_M150_0.6,Ray2013:RNCMPT00159_RALY,CISBP:RALY_M150_0.6,motif265|Ornament:U2AF2_7mer_logoM077,Attract:U2AF2_M077_0.6,Ray2013:RNCMPT00079_U2AF2,CISBP:U2AF2_M077_0.6,motif267|Ornament:TIA1_7mer_logoM156,Attract:TIA1_M156_0.6,Ray2013:RNCMPT00165_TIA1,CISBP:TIA1_M156_0.6,motif844|Attract:TIAL1_s64,motif386|Ornament:CPEB4_7mer_logoM149,Attract:CPEB4_M149_0.6,Ray2013:RNCMPT00158_CPEB4,CISBP:CPEB3_CPEB4_M149_0.6,motif388|Ornament:CPEB2_7mer_logoM012,Attract:CPEB2_M012_0.6,Ray2013:RNCMPT00012_CPEB2,CISBP:CPEB2_M012_0.6,motif168|Ornament:RBM24_7mer_logo0,motif946|Attract:ELAVL2_s2,motif468|Attract:TIAL1_s7,motif728|Attract:TIA1_s10,motif177|Ornament:CPEB1_7mer_logo0,motif242|Ornament:TRNAU1AP_7mer_logo1,motif896|Ornament:BOLL_7mer_logo3,motif352|Ornament:HNRNPCL1_7mer_logoM158,Attract:HNRNPCL1_M158_0.6,Ray2013:RNCMPT00167_HNRNPCL1,CISBP:HNRNPCL1_M158_0.6,motif353|Ornament:HNRNPC_7mer_logoM025,Attract:HNRNPC_M025_0.6,Ray2013:RNCMPT00025_HNRNPC,CISBP:HNRNPC_M025_0.6,motif485|Ornament:HNRNPCL1_7mer_logo1,motif782|Attract:ELAVL2_s3,motif645|Attract:TIA1_s11,motif845|Attract:TIAL1_s8,motif161|Ornament:RBM15B_7mer_logo2,motif239|Ornament:TRNAU1AP_7mer_logo0,motif145|Ornament:RALYL_7mer_logo1,motif257|Ornament:HNRNPC_7mer_logo1,motif465|Attract:KHDRBS1_1155,Attract:EIF4A3_407,Attract:DDX19B_554,Attract:EIF4A3_432,Attract:PPIE_89,Attract:EIF4A3_426,motif525|Attract:ELAVL1_1104,Attract:HNRNPC_723,Attract:U2AF2_461,Attract:HNRNPC_724,motif953|Attract:HNRNPC_s13
cluster_010	transfac_motifs_motif730_n730,transfac_motifs_motif837_n837,transfac_motifs_motif94_n94,transfac_motifs_motif680_n680,transfac_motifs_motif102_n102,transfac_motifs_motif944_n944,transfac_motifs_motif761_n761,transfac_motifs_motif967_n967,transfac_motifs_motif106_n106,transfac_motifs_motif924_n924	motif730|Attract:SRSF2_s47,motif837|Attract:SRSF2_M274_0.6,motif94|CISBP:SRSF2_M274_0.6,motif680|Attract:SRSF2_s58,motif102|CISBP:SRSF2_M332_0.6,motif944|Attract:SRSF2_M332_0.6,motif761|Attract:YBX1_124,motif967|Attract:SRSF2_s56,motif106|CISBP:SNRPA_M345_0.6,motif924|Attract:SNRPA_M345_0.6
