UNIQUE ID,REFERENCE NAME,HGNC ID,EntrezGene official name (Human),EntrezGeneID (Human),EntrezGene Symbol (Human),EntrezGene Aliases (Human),EntrezGene Additional Names (Human),MGI ID,EntrezGeneofficial name (Mouse),EntrezGeneID (Mouse),EntrezGene Symbol (Mouse),EntrezGene Aliases (Mouse),EntrezGene Additional Names (Mouse),UniProtDB ID (Human),UniProt protein name (Human),UniProt protein alternative names (Human),UniProtID (Mouse),UniProt protein name (Mouse),UniProt protein alternative names (Mouse),MeSH ID,MeSH Name,Typographical variations,Shen-Orr ID,IX Synonyms,Protein Ontology ID,Protein Ontology name,Protein Ontology synonyms,Protein Ontology URL,OMIM ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1,B-Cell Activating Factor,HGNC:11929,"tumor necrosis factor (ligand) superfamily, member 13b",10673,TNFSF13B,DTL;BAFF;BLYS;CD257;TALL1;THANK;ZTNF4;TALL-1;TNFSF20;,,MGI:1344376,"tumor necrosis factor (ligand) superfamily, member 13b",24099,Tnfsf13b ,BAFF;BLyS;TALL1;THANK;zTNF4;TALL-1;TNFSF20;D8Ertd387e;,tumor necrosis factor ligand superfamily member 13B;Bcellactivating factor;b cellactivating factor;,TN13B_HUMAN,"Tumor necrosis factor ligand superfamily member 13b, soluble form",B lymphocyte stimulator;BLyS;B-cell-activating factor;BAFF;Dendritic cell-derived TNF-like molecule;TNF- and APOL-related leukocyte expressed ligand 1;TALL-1;,TN13B_MOUSE,"Tumor necrosis factor ligand superfamily member 13b, soluble form",B-cell-activating factor;BAFF;,D053264,B-Cell Activating Factor,B-Cell Activating Factor;,,,PR:000001948,tumor necrosis factor ligand superfamily member 13B,BLyS;TNFSF20;TNF- and APOL-related leukocyte expressed ligand 1;CD257;B lymphocyte stimulator;TALL1;BAFF;ZTNF4;TALL-1;B-cell-activating factor;TNFSF13B;dendritic cell-derived TNF-like molecule;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001948,603969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_10,Chemokine CCL1,HGNC:10609,chemokine (C-C motif) ligand 1,6346,CCL1 ,P500;SISe;TCA3;I-309;SCYA1;,"small inducible cytokine A1 (I309, homologous to mouse Tca3);CC motif chemokine 1;T lymphocytesecreted protein I309;inflammatory cytokine I309;",MGI:98258,chemokine (C-C motif) ligand 1,20290,Ccl1 ,I-309;Scya1;Tca-3;BF534335;,CCR8 ligand;small inducible cytokine A1;Tcell activation protein 3;CC motif chemokine 1;SISepsilon;P500;smallinducible cytokine A1;TCA3;,CCL1_HUMAN,C-C motif chemokine 1,Small-inducible cytokine A1;T lymphocyte-secreted protein I-309;,CCL1_MOUSE,C-C motif chemokine 1,P500;SIS-epsilon;Small-inducible cytokine A1;T-cell activation protein 3;TCA-3;TCA3;,D054402,Chemokine CCL1,Chemokine CCL1;CCL1;,,,PR:000001985,C-C motif chemokine 1,TCA-3;CCL1;T-cell activation protein 3;TCA3;SCYA1;SIS-epsilon;small-inducible cytokine A1;P500;T lymphocyte-secreted protein I-309;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001985,182281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_100,Interleukin-15,HGNC:5977,interleukin 15,3600,IL15 ,IL-15;,interleukin15;,MGI:103014,interleukin 15,16168,Il15 ,IL-15;AI503618;,interleukin15;,IL15_HUMAN,Interleukin-15,IL-15;,IL15_MOUSE,Interleukin-15,IL-15;,D019409,Interleukin-15,IL 15;IL-15;IL15;Interleukin-15;interleukin 15;,181,Interleukin-15;interleukin-15;interleukin t;il-15;il15;il-t;interleukin 15;interleukin-t;mgc9721;,PR:000001373,interleukin-15,IL15;IL-15;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001373,600554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_101,Interleukin-16,HGNC:5980,interleukin 16,3603,IL16 ,LCF;NIL16;PRIL16;prIL-16;,neuronal interleukin 16;lymphocyte chemoattractant factor;prointerleukin16;prointerleukin 16;,MGI:1270855,interleukin 16,16170,Il16 ,mKIAA4048;,prointerleukin16;,IL16_HUMAN,Interleukin-16,IL-16;Lymphocyte chemoattractant factor;LCF;,IL16_MOUSE,Interleukin-16,IL-16;Lymphocyte chemoattractant factor;LCF;,D019410,Interleukin-16,IL 16;IL-16;IL16;Interleukin-16;interleukin 16;,147,il-16;flj16806;interleukin-16;flj44234;lymphocyte chemoattractant factor;interleukin 16;pril-16;lcf;il16;flj42735;hst19289;,PR:000001374,interleukin-16,IL16;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001374,603035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_102,Interleukin-17,,,,,,,,,,,,,,,,,,,D020381,Interleukin-17,IL 17;IL-17;IL17;Interleukin-17;interleukin 17;,185,Interleukin-17;,PR:000001092,interleukin-17,IL-17;IL17;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_103,Interleukin-17a,HGNC:5981,interleukin 17A,3605,IL17A ,IL17;CTLA8;IL-17;IL-17A;,interleukin17A;cytotoxic Tlymphocyteassociated protein 8;cytotoxic Tlymphocyteassociated antigen 8;interleukin 17 (cytotoxic Tlymphocyteassociated serine esterase 8);CTLA8;,MGI:107364,interleukin 17A,16171,Il17a ,Il17;Ctla8;IL-17;Ctla-8;IL-17A;,cytotoxic Tlymphocyteassociated antigen 8;interleukin17A;,IL17_HUMAN,Interleukin-17A,IL-17;IL-17A;Cytotoxic T-lymphocyte-associated antigen 8;CTLA-8;,IL17_MOUSE,Interleukin-17A,IL-17;IL-17A;Cytotoxic T-lymphocyte-associated antigen 8;CTLA-8;,,,,145,il-17a;interleukin 17a;ctla8;il17a;il17;il-17;ctla-8;interleukin-17a;cytotoxic t-lymphocyte-associated antigen 8;,PR:000001138,interleukin-17A,cytotoxic T-lymphocyte-associated antigen 8;IL17A;IL-17A;IL-17;CTLA-8;CTLA8;IL17;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001138,603149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_104,Interleukin-17b,HGNC:5982,interleukin 17B,27190,IL17B ,NIRF;IL-20;IL-17B;ZCYTO7;,neuronal interleukin17 related factor;neuronal interleukin17related factor;cytokinelike protein ZCYTO7;cytokine Zcyto7;interleukin17 beta;interleukin20;interleukin 20;interleukin17B;,MGI:1928397,interleukin 17B,56069,Il17b ,Zcyto7;1110006O16Rik;1700006N07Rik;,gene for cytokinelike protein;cytokine CX1;neuronal interleukin17related factor;cytokinelike protein ZCYTO7;IL17B;interleukin17B;,IL17B_HUMAN,Interleukin-17B,IL-17B;Cytokine Zcyto7;Interleukin-20;IL-20;Neuronal interleukin-17-related factor;,IL17B_MOUSE,Interleukin-17B,IL-17B;Cytokine CX1;Cytokine-like protein ZCYTO7;Neuronal interleukin-17-related factor;,,,,137,il-17b;neuronal interleukin-17-related factor;nirf;cytokine-like protein zcyto7;neuronal il17-related factor;interleukin 17b;il-20;il20;il17b;interleukin-20;cytokine zcyto7;zcyto7;cytokine cx1;mgc138900;interleukin-17b;mgc138901;,PR:000001139,interleukin-17B,IL17B;cytokine Zcyto7;cytokine-like protein ZCYTO7;NIRF;IL-20;cytokine CX1;ZCYTO7;neuronal interleukin-17-related factor;interleukin-20;IL-17B;IL20;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001139,604627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_105,Interleukin-17c,HGNC:5983,interleukin 17C,27189,IL17C ,CX2;IL-17C;,cytokine CX2;interleukin17C;,MGI:2446486,interleukin 17C,234836,Il17c ,IL-17C;,cytokine CX2;interleukin17C;,IL17C_HUMAN,Interleukin-17C,IL-17C;Cytokine CX2;,IL17C_MOUSE,Interleukin-17C,Il-17c;Cytokine CX2;,,,,141,il-17c;mgc138401;interleukin 17c;interleukin-17c;il17c;mgc126884;cytokine cx2;,PR:000001140,interleukin-17C,IL-17C;cytokine CX2;IL17C;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001140,604628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_106,Interleukin-17d,HGNC:5984,interleukin 17D,53342,IL17D ,IL27;IL-27;IL-17D;,interleukin 27;interleukin17D;,MGI:2446510,interleukin 17D,239114,Il17d ,Il27a;IL-17D;AI462269;,interleukin 17D;interleukin 27A;,IL17D_HUMAN,Interleukin-17D,IL-17D;Interleukin-27;IL-27;,Q8K4C4_MOUSE,,,,,,133,il-17d;flj30846;interleukin-17d;interleukin 17d;il17d;,PR:000001141,interleukin-17D,IL-17D;IL-27;IL27;IL17D;interleukin-27;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001141,607587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_107,Interleukin-17f,HGNC:16404,interleukin 17F,112744,IL17F ,ML1;ML-1;CANDF6;IL-17F;,cytokine ML1;interleukin17F;,MGI:2676631,interleukin 17F,257630,Il17f ,C87042;IL-17F;,interleukin17F;,IL17F_HUMAN,Interleukin-17F,IL-17F;Cytokine ML-1;,IL17F_MOUSE,Interleukin-17F,IL-17F;,,,,129,il-17f;ml-1;ml1;interleukin-17f;interleukin 17f;il17f;,PR:000001142,interleukin-17F,IL-24;interleukin-24;IL24;cytokine ML-1;IL-17F;IL17F;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001142,606496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
