GeneID	GSM6031960	GSM6031961	GSM6031962	GSM6031963
100287102	0.2504	0.2637	0.6765	0.8722
653635	21.68	27.82	19.38	16.12
102466751	9.733	23.7	11.46	8.577
107985730	0.07689	0.08096	0	0.06377
100302278	0	0	0	0
645520	0.03661	0	0	0
79501	0.04506	0	3.025	2.84
100996442	0.541	0.6408	0.5259	0.5538
729737	0.8237	1.687	11.33	11.19
102725121	0.2832	0.2168	1.159	1.281
102723897	23.42	29.7	17.94	15.23
102465909	6.692	13.45	6.973	5.045
107985721	0.01529	0.0161	0	0.01268
112268260	0.04392	0.09909	0.05137	0.07285
729759	0.04405	0	0	0
100132287	1.874	3.568	4.673	4.396
105378947	0	0.01859	0.04337	0.02928
101928626	0	0	0	0
113219467	5560	4843	1.284e+04	1.131e+04
81399	0.04294	0.03768	0.02344	0.01781
100133331	2.895	5.759	4.415	4.472
107984841	2.189	4.704	5.011	5.705
107984847	7.847	21.46	19.27	20.65
107984849	0.591	0.9333	2.903	3.553
100288069	2.625	6.481	6.966	6.806
105378580	0.1208	0.2289	0.3362	0.227
400728	0.2766	0.2913	0.2962	0.1941
79854	2.167	5.556	2.829	2.735
643837	1.591	2.359	2.267	2.434
107984850	0	0.01775	0	0.02796
284593	0.1212	0.1021	0.07941	0.06033
284600	0.4075	1.603	1.396	1.138
100130417	0.1099	0.8098	2.406	1.39
107985728	0.1135	0.215	2.034	1.684
148398	8.299	13.44	17.92	13.4
26155	79.73	127.7	129.8	126.4
339451	14.3	30.46	20.06	19.2
84069	3.977	10.56	2.638	2.21
84808	1.099	2.735	0.712	0.5979
57801	23.03	54.76	18.38	13.35
9636	284.7	1653	9.145	9.263
375790	105.4	122.4	25.7	24.55
100288175	9.174	14.22	5.39	6.622
112267874	0.8264	1.08	0.614	0.7869
105378948	2.975	3.789	1.833	2.103
401934	0.1089	0.04585	0.01783	0.01806
54991	13.42	13.06	13.31	12.13
254099	0	0.05377	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0.01981	0.01043	0	0
254173	0	0.04055	0	0.007986
8784	0	0.1064	0	0
7293	0	0.1068	0.01845	0.05607
51150	70.48	80.33	60.26	54.85
126792	17.11	10.37	21.61	21.04
388581	0.8533	0.5324	4.062	6.945
118424	32.05	34.5	29.57	29.6
101928895	2.748	8.211	3.993	4.702
6339	2.817	8.357	3.981	5.347
116983	11.41	15.45	8.411	7.309
102465434	0.6782	0	0	0
109623456	0.9849	3.111	2.822	2.45
126789	31.76	28.35	17.63	14.85
54973	75.91	74.88	65.65	59.65
102465435	5.728	12.06	6.774	6.334
80772	29.52	50.7	15.3	13.29
83756	0.2064	0.3623	0.2254	0.1236
1855	70.37	85.66	49.97	37.05
102466740	1.402	5.906	4.592	2.326
54587	57.05	41.69	1.595	1.304
54998	77.72	99.58	100.7	87.02
81669	53.68	75.41	64.88	55.84
148413	15.52	26.99	17.34	15.01
55052	64.52	60.44	88.06	80.83
107984868	0.05367	0.0113	0	0
441869	0.1486	0.05216	0.02028	0
105378585	0	0	0	0
643965	0.1682	0.1771	0.5507	0.3486
102724312	0	0.1459	0.3971	0.3161
107985729	0	0.05954	0.0463	0.2579
64856	5.111	6.516	5.474	3.719
219293	1.584	2.39	1.288	1.012
83858	10.92	23.14	13.51	10.79
55210	42.16	59.51	34.75	28
339453	1.348	0.2838	0.5641	0.1739
29101	155.5	132.6	173.8	174.2
643988	7.635	15.75	12.57	10.24
105378586	1.446	3.883	2.487	2.219
142678	8.485	12.68	8.38	7.235
8510	2.05	2.805	1.385	1.117
984	39.74	50.32	33.72	32.84
728661	24.26	15.08	29.8	26.08
8511	1.598	1.058	1.308	0.7952
728642	40.28	57.54	30.89	31.85
9906	9.813	7.437	10.27	8.928
112268218	2.626	4.051	2.333	1.739
65220	20.07	26.52	18.67	14.3
2782	387.8	359.4	256.3	264.2
105378949	1.266	1.215	0.8525	0.6768
163688	0.4791	0.6984	0.1207	0.1223
339456	7.3	6.242	6.013	4.843
85452	0.2404	0.3355	0.004577	0.009272
107984872	0.2512	0.1245	0.0363	0
105378589	0.01743	0	0.09273	0.08671
2563	0.6133	0.4079	3.541	2.476
105378590	0.03718	0	0	0
105378591	0.1532	0	0	0
5590	20.63	15.37	7.832	6.892
100506504	1.783	3.128	2.325	1.999
199990	13.23	13.86	11.43	9.775
112268219	2.339	4.077	3.335	3.815
105378593	0.1204	0.08449	0.1314	0.1997
6497	33.08	22.32	17.09	14.3
79906	1.194	2.254	2.108	1.637
100129534	0.3864	2.151	1.672	1.251
11079	86.98	96.96	57.64	56.54
5192	22.09	14.09	20.11	15.3
9651	0.6931	0.1866	0.2091	0.1513
55229	19.69	24.56	12.37	11.64
388585	0.5077	0.05091	0	0
115110	0.3851	0.5941	0.04399	0.06685
8764	2.049	6.19	0.3839	0.6049
100996583	0.1185	0	0	0
127281	17.61	27.16	11.39	11.06
79258	1.046	1.625	0.5504	0.4852
105378597	0	0	0.129	0.03267
100287898	0.04674	0.03691	0.354	0.3586
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0.009285	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0.05659	1.1	0.7132
63976	0.009512	0.1903	5.12	3.826
100422968	0	0	0	0
105378606	0	0	0.01096	0
107984909	0	0.1417	0.05509	0
105378605	0	0	0	0
105378604	0.3091	0.1675	0.04009	0.02538
27237	4.844	8.402	5.416	5.097
1953	8.956	9.209	4.307	2.336
105378608	0.06844	0.02883	0.04483	0
693135	0	0	0	0
105378607	0	0	0	0
127262	51.89	41.45	22.78	23.59
49856	26.21	32.89	22.57	21.55
7161	1.849	6.255	8.262	6.78
105378610	0.07646	0	0.04695	0.01585
105378609	0	0	0	0
57212	17.46	24.26	1.522	1.563
148870	0.03376	0.05924	0.02764	0
388588	3.826	1.292	2.364	1.916
57470	26.19	29.18	26.86	23.58
9731	16.78	13.65	15.77	13.85
1677	2.219	2.231	2.622	2.877
107984910	0.2186	0.1343	0.07457	0.1813
339448	19.19	21.02	17.02	17.87
100133612	0.2331	0	0.5899	0.457
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0.2464
55966	6.093	14.02	0.2956	0.4018
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0.4901
261734	4.629	6.234	4.325	3.141
8514	1.706	2.105	0.8341	0.5632
26038	0.1218	0.07075	3.648	2.393
105376687	0	0	0	0
6146	344.7	217.3	368.4	341.8
107985733	5.299	4.164	9.714	8.921
102724450	0.4377	0.1152	1.613	2.995
388591	1.417	1.853	13.37	15.11
23463	61.38	73.99	39.91	37.25
148645	0.1512	0.504	0.5775	0.9402
390992	0	0	0	0
387509	2.505	4.194	9.227	9.614
11332	46.91	93.06	57.56	61.62
54626	0.03882	0.0511	0	0
83715	0.3874	0.4476	0.08895	0.05876
100422975	0	0	0	0
8718	7.513	10.48	5.073	4.405
57449	13.63	13.55	6.174	5.53
79707	14.79	12.66	17	17.57
80835	0.03888	0.0614	0	0
107984912	0.09275	0	0	0
3104	10.56	15.44	12.22	10.59
9903	18.77	26.21	11.4	8.544
107984913	0.3568	0.1547	0.1718	0.1741
148479	33.87	24.33	13.86	11.25
90326	18.17	23.05	15.2	13.56
55735	39.61	47.27	40.94	40.11
100505887	0	0	0	0
110841581	1.424	0.8679	1.104	0.1865
23261	5.393	4.714	3.823	3.733
105376692	0	0	0	0
102725193	0	0	0	0
101928836	0.0559	0	0.04577	0
105376691	0	0	0	0
105376689	0.2911	0.5983	2.996	2.88
9341	105.2	110	69.47	75.9
8863	15.85	5.092	1.844	1.691
10911	0.04861	0.4862	0	0
3604	0.4516	11.84	0.03944	0.4794
11315	205.9	131.9	172.4	168.7
54206	10.04	43.1	5.651	4.729
107984915	0	0	0	0
102724539	0.1665	0	0	0.1381
105376695	0	0	0	0
50651	0.2757	0.1024	0.3585	0.2286
473	43.72	49.12	21.62	19.13
102724552	0.1788	0.251	0.1464	0.04943
106632271	0	0.3821	0	0
2023	1330	1215	1961	1820
102465436	0.4648	1.468	3.044	1.542
100505975	1.666	1.267	3.94	5.449
112268261	0	0	0.02195	0
765	0.1025	0	0	0
155184	0	0	0.0326	0.04953
6518	0.02809	0	0.005749	0
80045	1.363	2.228	2.57	2.13
106614088	1.085	0.241	0.01629	0.01651
407040	0	0	0	0
102724571	1.727	0.1774	0	0
9563	1.279	0.4163	3.968	2.63
80176	14.92	49.19	5.398	5.733
100506022	0.7805	0.3573	2.139	1.886
84275	12.24	9.478	8.926	8.202
199953	18.21	33.32	10.99	9.175
107985734	2.14	3.834	1.322	1.308
105376712	0	0	0	0.07762
5293	24.11	31.11	8.368	10.48
644997	0.09077	0	0	0
101929074	6.779	0.2728	15.17	6.124
22883	149.5	137.3	83.61	74.04
56998	6.524	3.124	23.76	16.24
105376717	2.474	1.078	10.06	7.569
84328	18.49	9.233	16.44	16.27
64802	4.812	4.609	4.259	3.832
113391335	0.559	0.1962	0	0
100847055	0	0	0.4342	0
116362	26.1	13.12	208.2	184.8
10277	39.45	11.01	33.8	30.91
23095	18.83	16.11	15.78	11.96
105376725	0.2855	0.1804	0.1636	0.1894
5226	143.3	128.4	188.2	192.8
100526739	6.372	6.399	7.938	9.418
378708	9.644	8.784	11.57	13.24
1325	1.177	1.334	0.9264	1.464
1676	59.42	63.61	24.71	24.59
5195	15.31	20.39	12.21	10.71
54897	2.284	3.721	5.81	7.536
105376733	0	0	0	0
105376735	0	0	0	0
148345	0	0	0.06962	0.04701
23435	67.81	113.2	90.04	87.01
10747	1.509	0.697	1.223	1.583
6723	186.3	224.8	239.6	226.6
5394	104.6	112.2	72.51	70.76
105376736	14.45	13.78	10.15	9.552
2475	33.64	34.26	30.27	26.1
100873935	3.34	3.393	2.974	1.847
10218	0.0496	0.05222	0.05415	0.02742
29914	11.71	13.15	8.135	7.027
105376737	0	0	0	0
105376739	0	0	0	0
105376740	0	0.04619	0	0
57540	0.0551	0.1334	0.2075	0.1828
112268221	0.01129	0.01189	0.03698	0.01873
101929181	0.09658	0.4745	0	0
26232	2.604	1.557	25.97	20.85
93611	17.7	19.76	22.76	18.34
26270	6.973	6.325	10.33	10.09
10459	57.04	48.72	37.8	34.79
374946	1.48	0.9772	0.01881	0.003811
57085	33.89	55.9	50.24	57.38
284498	0.9121	0.7056	0.5944	0.4683
102724659	0	0	0	0
4524	3.453	2.656	2.777	2.809
1185	18.33	10.88	5.488	4.556
100379251	7.716	4.953	2.262	2.271
4878	0.629	0.866	0.4357	0.6821
4879	16.07	32.6	0.09567	0
26829	0	1.464	1.423	0.2883
90231	43.14	63.72	37.85	34.66
5351	166.3	191.6	67.08	63.31
9927	77	82.56	63.02	53.08
60672	40.25	48.2	24.01	24.57
102466982	1.273	0.6701	2.084	0.5278
943	0.52	7.221	0.06427	0.09765
102465836	1.724	10.44	0	0.3574
7133	0.7764	11.08	0.5046	0.7302
100616438	0	0	0	0
107984917	0	0.07317	0	0
55187	10.8	8.236	8.522	4.486
677885	2.177	2.292	2.228	3.16
105376744	0	0	0	0
9249	0.2674	0.9781	11.96	8.813
102466722	0	0	0.5055	0.512
343066	0	0	0	0
126767	0	0.01074	0	0
93190	0.02321	0	0	0
390999	0.186	0	0	0
65121	0.03392	0	0.01389	0
105376745	0	0	0	0
440560	0	0	0	0
343069	0.4243	0.335	0.2895	0.4105
65122	0.1282	0	0.1749	0.03544
400735	0.02248	0	0.01841	0
343071	0	0	0	0
441871	0.02655	0	0	0
440561	0.02405	0	0	0
101929983	0	0	0	0
649330	0	0	0	0
441873	0	0	0	0
649324	0.01868	0	0	0
440563	0	0.03768	0	0.08903
645354	0.01868	0	0	0
645359	0	0	0	0
101060301	0.04458	0.04693	0	0.03697
343070	0.02879	0	0	0
400736	0	0	0.01379	0
391003	0	0	0	0
343068	0.0223	0	0	0
391002	0.02468	0	0	0.04094
645382	0	0	0	0
653619	0	0	0	0
729528	0	0	0	0
645414	0	0	0	0
391004	0	0	0	0
645425	0	0	0	0
126755	0.229	0.6228	0	0
102724856	0.01482	0.0468	0	0
107984918	0.03281	0.1036	0	0
10630	0.079	4.367	0	0
107984919	0	0	0	0
105378612	0	0	0	0
105376756	0	0	0	0
7799	7.448	10.42	6.905	5.854
23254	5.098	4.608	0.6974	0.5897
107985467	0	0.02057	0	0
107985468	0	0	0	0
105376762	0	0.06986	0	0
105376759	0	0	0	0
107985469	0	0	0	0
200197	0.01778	0.1498	0.05338	0.02458
55092	31.45	78.36	11.04	12.71
727684	0.09908	0.2347	0.04056	0.04109
114827	0.1547	3.578	0.4498	0.376
101927417	0.01329	0.9097	0.02177	0.1102
101927441	0.08182	0.09846	0.09092	0.07755
79180	55.44	136.2	86.27	101.2
11330	0	0	0	0
63036	0	0	0	0
105376767	0	0	0	0
51032	0.1808	0.2856	0.03701	0
842	3.259	3.297	6.151	6.043
23341	11.18	12.78	7.955	7.991
107397391	0	0	0.2437	0
79814	0.842	0.04222	0.02189	0.01108
84301	5.937	9.142	8.315	6.593
6248	6.764	11.46	8.825	7.267
23207	75.64	73.92	43.99	38.89
284723	0.1872	0.3745	0.4981	0.7063
110806303	0.3921	0.4128	0.1605	0.3252
388595	0.05734	0	0	0
54751	48.65	60.03	17.08	17.01
440567	26.83	31.41	43.06	39.79
729614	2.029	3.125	3.099	2.549
